player_id,player_name,first_name,team,position,price,avg_rating,avg_points,status,games_played,started_matches,last_5_ratings,total_goals,clean_sheets,goals_conceded,yellow_cards,red_cards
mpg_championship_player_638407,Saïd Mchindra,Naïme,mpg_championship_club_427,GK,1,,,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_638411,Methalie,Dayann,mpg_championship_club_427,DF,5,4.592592592592593,4.93,Disponible,33,22,"[2, 4, 5, 5.5, 6.5]",2,0,0,9,0
mpg_championship_player_638987,Mbaye,Ibrahim,mpg_championship_club_149,FW,5,4.804347826086956,5.14,Disponible,33,10,"[6, None, 5, 6, None]",3,0,0,0,0
mpg_championship_player_639171,Baret,Lilian,mpg_championship_club_429,MF,1,,,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_640619,Himbert,Rémi,mpg_championship_club_143,MF,5,4.583333333333333,4.39,Disponible,16,1,"[None, None, None, None, None]",1,0,0,0,0
mpg_championship_player_640620,Jangéal,Mathis,mpg_championship_club_149,MF,1,4.5,4.2,Disponible,28,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_641036,Makalou,Hamidou,mpg_championship_club_862,MF,5,4.96875,4.49,Disponible,33,1,"[5, 5, None, 6, 5]",0,0,0,0,0
mpg_championship_player_641216,Touré,Alpha,mpg_championship_club_145,MF,6,4.775862068965517,4.53,Disponible,33,15,"[5.5, None, 5, None, None]",0,0,0,5,0
mpg_championship_player_643101,Prouchet,Killian,mpg_championship_club_2338,DF,1,,,Disponible,22,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_643297,Kiwa,Bradel,mpg_championship_club_146,DF,1,,,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_643307,El Mourabet,Samir,mpg_championship_club_153,MF,16,5.40625,5.36,Disponible,33,24,"[5.5, 5, 5, 5.5, None]",1,0,0,4,0
mpg_championship_player_645307,Pona,Oumar,mpg_championship_club_2128,GK,7,3.75,3.84,Disponible,33,2,"[None, None, None, None, None]",0,0,7,1,0
mpg_championship_player_645319,Diallo,Alpha,mpg_championship_club_142,MF,1,,,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_645598,Yassine,Gessime,mpg_championship_club_153,MF,9,5.166666666666667,4.87,Disponible,16,6,"[None, 4.5, 6, 4.5, 4]",0,0,0,0,0
mpg_championship_player_646525,Mongo,Enzo,mpg_championship_club_430,DF,1,,,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_647907,Deuff,Bahmed,mpg_championship_club_430,MF,1,4.818181818181818,4.29,Disponible,33,1,"[None, None, None, None, None]",0,0,0,1,0
mpg_championship_player_647908,Guirassy,Herba,mpg_championship_club_430,FW,6,4.8,4.69,Disponible,33,9,"[None, None, 5, None, None]",2,0,0,2,0
mpg_championship_player_647916,Leroux,Louis,mpg_championship_club_430,MF,5,4.826086956521739,4.58,Disponible,33,16,"[None, 5, 5, 5.5, 4.5]",1,0,0,2,0
mpg_championship_player_648307,Lawson,Yannis,mpg_championship_club_145,DF,1,,,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_648413,Vignolo,Julián,mpg_championship_club_427,FW,5,4.846153846153846,4.61,Disponible,32,1,"[None, None, 4.5, None, None]",2,0,0,0,0
mpg_championship_player_651819,Kouassi,Arsène,mpg_championship_club_694,DF,15,5.333333333333333,5.48,Disponible,33,29,"[4.5, None, 5, 4.5, 7]",2,0,0,4,0
mpg_championship_player_652156,Stawiecki,Jules,mpg_championship_club_146,GK,3,,,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_652158,Kanté,Ibrahim,mpg_championship_club_862,MF,1,,,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_652987,Zabiri,Yassir,mpg_championship_club_150,FW,5,4.416666666666667,4.37,Disponible,13,0,"[None, 4.5, 4.5, 4.5, None]",0,0,0,0,0
mpg_championship_player_653269,Mmadi,Tadjidine,mpg_championship_club_144,MF,1,4.5,4.14,Disponible,24,0,"[None, None, 4, None, None]",0,0,0,0,0
mpg_championship_player_654497,Garnier,Erawan,mpg_championship_club_142,MF,3,4.5,4.39,Disponible,15,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_656314,Messali,Rafik,mpg_championship_club_427,MF,4,5.125,4.81,Disponible,33,5,"[None, None, None, None, None]",0,0,0,2,0
mpg_championship_player_658062,Louër,Marius,mpg_championship_club_2128,DF,7,4.833333333333333,4.86,Disponible,33,6,"[4, 5, None, 4.5, 6]",0,0,0,1,0
mpg_championship_player_658332,Coulibaly,Djibril,mpg_championship_club_1395,MF,3,4.75,4.72,Disponible,33,0,"[None, 5, None, None, None]",0,0,0,0,0
mpg_championship_player_659392,Devernois,Tidiane,mpg_championship_club_138,MF,1,5.0,4.41,Disponible,30,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_659396,Rodin,Ryan,mpg_championship_club_138,FW,3,4.333333333333333,4.13,Disponible,30,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_664882,Mosengo,Daren,mpg_championship_club_141,MF,4,4.928571428571429,4.83,Disponible,33,0,"[None, 5, 5, None, None]",0,0,0,0,0
mpg_championship_player_664883,Zohouri,Guy Noël,mpg_championship_club_141,MF,1,,,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_664943,Jauny,Noah,mpg_championship_club_862,GK,3,,,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_665234,Bernardeau,Gabin,mpg_championship_club_1395,MF,1,5.125,4.45,Disponible,33,1,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_666764,Diop,Saliou,mpg_championship_club_862,FW,1,4.5,4.47,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_668892,Rosier,Lucas,mpg_championship_club_150,FW,1,4.5,4.11,Disponible,24,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_669409,Diaoune,Soriba,mpg_championship_club_429,FW,5,4.75,4.81,Disponible,33,1,"[None, None, None, None, None]",1,0,0,0,0
mpg_championship_player_669414,Goffi,Maxima,mpg_championship_club_429,DF,1,5.0,5.09,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_66957,Cabella,Rémy,mpg_championship_club_430,MF,8,5.318181818181818,4.98,Disponible,17,6,"[4.5, None, None, 7, None]",2,0,0,1,0
mpg_championship_player_669580,Kamara,Noham,mpg_championship_club_143,DF,1,5.0,4.54,Disponible,33,0,"[None, 5, None, None, None]",0,0,0,0,0
mpg_championship_player_669586,Nsoki,Noah,mpg_championship_club_149,MF,1,5.0,4.35,Disponible,17,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_669617,Slama,Wassim,mpg_championship_club_149,MF,1,,,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_669996,Lachaab,Younes,mpg_championship_club_429,FW,1,,,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_670270,Irie,Paris,mpg_championship_club_862,DF,1,,,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_672275,Munongo,Believe,mpg_championship_club_145,MF,6,4.7,4.4,Disponible,17,4,"[None, None, None, 5, 4.5]",0,0,0,1,0
mpg_championship_player_672280,Hamdani,Adil,mpg_championship_club_143,FW,5,4.625,4.47,Disponible,21,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_674605,Moussaoui,Amine,mpg_championship_club_2128,MF,1,,,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
mpg_championship_player_678291,Le Guen,Raphaël,mpg_championship_club_862,DF,4,4.6,4.8,Disponible,33,3,"[5, None, None, 2, 6]",0,0,0,0,0
mpg_championship_player_68166,Hanin,Florent,mpg_championship_club_2128,DF,8,4.916666666666667,4.86,Disponible,33,8,"[5, None, 5, 5, 5]",0,0,0,0,0
mpg_championship_player_684058,Do Marcolino,Henrick,mpg_championship_club_150,FW,1,5.0,4.3,Disponible,33,0,"[None, None, None, None, None]",0,0,0,0,0
